transactionId,userId,title,amount,reason,status,created_time,correspondence,created_user,leadId,orderId,requestId,requestedId,transactionNote,updated_time,walletId
f682f6e7-539f-44e6-9171-8ba9e3c29fc5,728dce1b-8425-4eee-81c7-f90c36ba7ebb,Signup Bonus,300.0,User Signup Bonus,COMPLETED,1767112823.0,You,,,,,,,,60636515-87d1-4691-9d30-fda46e08c50d
6abe6a57-2850-4bcc-bb71-b96638221e9d,58b8f090-4b46-42c5-90ef-2c7f87b911ca,Signup Bonus,300.0,User Signup Bonus,COMPLETED,1766625629.0,You,,,,,,,,4a5990d5-47cd-4b97-9308-cd6f6117ea46
d210584e-b8b7-46f7-a907-c75fee8f7a5c,0817b4f9-792c-432c-8515-1027ed9ef170,Signup Bonus,300.0,User Signup Bonus,COMPLETED,1765538677.0,You,,,,,,,,fdc9029f-f66f-4faf-a6aa-27fed1fe5994
b88d3863-cbbc-432e-892e-245d41aa2def,a1371cf4-8306-4726-b136-b3bc708e1f83,Signup Bonus,300.0,User Signup Bonus,COMPLETED,1766943706.0,You,,,,,,,,2da08eda-1058-4e1e-af37-c1f47d88da11
310042f7-3e8e-4afc-a854-b121a65ae544,2c5c562e-da02-43e8-8501-d2fd024a1471,Signup Bonus,300.0,User Signup Bonus,COMPLETED,1767098126.0,You,,,,,,,,8f707956-b61d-4ef8-856d-85aa9dce639c
1c6d8c65-e05c-4f84-b620-6f5e39835671,d186d9f6-0b60-4169-b50e-a88efc48c9c1,Signup Bonus,300.0,User Signup Bonus,COMPLETED,1765629962.0,You,,,,,,,,d452418c-71e0-44d9-8a0e-125338f18bc1
8bfbaecd-133a-4dcb-9b0c-9bfd9aab6326,ec625317-73b8-43a2-a558-b539cc1ccc63,Signup Bonus,300.0,User Signup Bonus,COMPLETED,1764931001.0,You,,,,,,,,d3a55075-db2e-4109-ae02-55d79efdd7b7
52f8a503-894b-4548-9367-7e43d9ce857f,8d5391a7-27ea-4b1f-9887-6f00288aa795,Referral,20.0,Reward for successful referral Joining,COMPLETED,1765637784.0,meghana,,,,,,,,d9feefb9-16c3-4d2f-9fae-c7a20f67d1d8
dcb4a48e-ff46-41af-b999-5efb293f7635,6a0b2d6c-bb79-4a8c-9409-7858856e1d06,Signup Bonus,300.0,User Signup Bonus,COMPLETED,1766926411.0,You,,,,,,,,19bd3187-28b9-441e-95b3-95b51ec0f87b
d2dbe720-e5ba-42e1-aa2b-ff2f4b051147,6ea030b4-7f31-4c4e-a8c1-7783b15d22b4,Signup Bonus,300.0,User Signup Bonus,COMPLETED,1767280525.0,You,,,,,,,,26dbe6a5-de4b-4420-849f-0466de3521fa
